"","hhidpn","wave","tot_finw","income","age","female","hi_school","college","married","if_child","empl","selfempl","socladder"
"32921",500952011,15,30600,109367.960338833,60,1,1,0,0,1,0,0,3
"7245",38547020,11,537475.19,123484.067222296,74.000001,1,1,0,1,1,0,0,8
"42150",536056010,12,1.0932473,120257.155971089,55.999999,0,1,0,1,1,1,0,6
"33421",501170020,10,2373.803,304084.250404847,60,0,0,1,1,1,1,0,8
"33523",501206020,10,1.1869016,277260.279931454,56.999998,1,0,1,1,1,1,0,8
"43681",907057010,14,1.0306802,28867.2768451408,60.999999,0,1,0,0,0,0,0,7
"18604",85920010,8,641.89233,82991.5618305985,65,1,0,0,1,1,1,0,6
"7576",39419020,8,81167.289,150880.721631945,73.000002,1,0,1,1,1,0,0,9
"9437",45196010,12,109324.73,39356.8853680379,76.999998,1,1,0,0,1,0,0,7
"37810",521251020,10,1.1869016,97325.9341089093,54.000001,1,1,0,1,1,0,0,4
"8176",41059020,9,4808.312,86585.6874242948,73.000002,1,1,0,1,1,0,0,7
"16888",79874040,9,1.202078,59337.7024964771,78.000002,1,1,0,1,1,0,0,8
"13401",57644040,10,728757.56,396557.891729945,68.000002,1,0,1,1,0,1,0,10
"18829",86609020,12,64501.594,224421.753077351,79.000001,0,1,0,1,1,0,1,9
"12107",52460010,13,7548.4023,69281.4309470706,83.999996,0,1,0,1,1,0,0,4
"45089",916444020,13,296544.38,485254.224782592,58.000002,1,1,0,1,1,1,0,7
"12844",55000040,8,421081.38,103473.072477444,61.999998,1,0,0,1,1,1,0,10
"4760",25102040,11,1037074.7,247685.058308254,69.000001,1,0,1,1,1,0,0,8
"17138",81113040,10,749647,746594.353673861,65.999999,1,0,1,1,1,0,0,8
"27040",206185020,13,80875.742,73378.2237966761,90,1,1,0,0,1,0,0,6
"19485",112432020,12,218.64946,38421.1032759954,70.999999,1,1,0,0,1,0,0,3
"2565",18345020,14,1.0306802,29535.1650581318,80,1,1,0,0,1,0,0,8
"8073",40870011,11,2254.5103,237174.545537966,76.999998,0,1,0,1,1,0,0,4
"3417",21166020,9,34740.055,114841.703412076,74.000001,0,0,0,1,1,0,1,8
"255",11347030,12,306109.25,140031.907657585,88.000002,0,0,1,1,1,0,0,7
"10279",47660010,11,31563.143,57787.6284532849,75,1,1,0,1,1,0,0,5
"20537",122978010,9,1.202078,34966.0354611667,61.999998,0,1,0,0,1,0,0,6
"8055",40782020,14,123681.62,199770.519335209,78.000002,0,0,1,1,1,1,0,5
"37337",502720010,8,19256.771,64.204826088247,55.999999,0,0,1,0,0,0,0,5
"16081",77364012,14,927.61212,32404.5781484274,68.000002,1,1,0,0,1,0,0,5
"18501",85569020,8,1.2837847,91569.8309148347,73.000002,0,0,0,1,1,0,0,4
"27620",208379020,10,1.1869016,11394.2506876005,96.000004,1,0,0,0,1,0,0,9
"15651",75970010,8,1.2837847,33060.0289141784,65,1,0,1,0,1,0,0,8
"21375",138026020,12,601286.06,294848.886253613,70.999999,0,0,1,0,1,0,0,8
"34977",501766010,13,1.0783433,191945.100629834,61.999998,0,0,1,1,1,0,0,8
"25882",203014020,10,623123.31,264441.770850791,86.999998,0,0,1,1,1,0,0,9
"21307",137301010,15,409800,332991.991212922,74.000001,0,0,1,1,1,0,0,9
"13083",56164010,14,1.0306802,43065.9268827397,78.000002,1,1,0,1,1,0,0,7
"299",11590020,10,1.1869016,34182.7690403958,75,1,1,0,0,1,0,0,5
"10765",48988010,13,1294.0118,68192.2975840841,75.999999,1,0,1,0,1,1,0,5
"27704",210031010,13,13509.483,117323.727995824,88.000002,1,1,0,0,1,0,0,4
"1342",14787010,10,56140.441,52888.352579764,74.000001,1,0,0,0,1,0,0,5
"14758",71989010,12,3334404.3,1203127.38102282,76.999998,1,1,0,1,1,0,0,9
"3294",20831010,10,39642.512,75610.379403103,76.999998,0,1,0,0,0,0,0,6
"7712",39779030,11,276177.5,103418.911550321,88.000002,0,0,1,0,1,0,0,7
"33927",501377010,8,3209.4619,102738.751174268,55,1,1,0,0,1,1,0,6
"23102",154723010,14,1.0306802,35001.9010184214,71.999998,1,0,1,0,1,0,0,4
"7750",39914010,15,380000,53776.0184670416,86.000004,0,1,0,1,1,0,0,9
"1507",15447010,14,11337.481,58070.2077116644,83.999996,1,1,0,0,1,0,0,8
"2250",17279010,11,3381.7651,60713.9283838295,75.999999,0,1,0,1,1,0,0,5
"11299",50377010,11,1127.2551,122419.857243804,75,0,1,0,1,1,0,0,8
"28086",210775020,10,1186.9015,85827.1963830364,80,1,1,0,1,1,0,0,6
"7035",37871020,8,4124800.3,1493041.33183809,73.000002,1,0,1,1,1,0,0,8
"14266",62157011,12,1.0932473,46677.2793692602,73.000002,1,1,0,1,1,0,0,4
"40092",527338020,10,8308.3105,125811.540949427,50.999999,0,1,0,1,1,1,0,6
"18383",85077021,8,12837.848,79009.225897416,70,1,1,0,1,1,0,1,5
"32721",500885020,15,10000,150120.023050982,60.999999,1,1,0,1,1,0,0,6
"35590",501997010,12,65594.836,236142.443353874,58.000002,1,1,0,1,1,1,0,9
"42803",901665010,10,1.1869016,63816.7674732402,50.999999,1,0,0,0,1,0,0,4
"2384",17750010,9,76932.992,114880.15192247,70,1,0,0,1,1,0,0,8
"40342",528093010,15,1,38311.9943783136,60.999999,1,1,0,0,1,1,0,4
"19402",110427020,10,326397.91,247824.93463006,60.999999,0,0,1,1,1,0,0,8
"14561",65881030,9,548147.56,96541.2814275153,81.000004,0,0,0,1,1,0,0,7
"2414",17909020,11,676353.06,126883.815385922,76.999998,0,1,0,1,1,0,0,8
"26570",205064010,8,102702.78,74356.8393086388,86.000004,1,1,0,0,1,0,0,6
"2074",16827040,11,1690.8826,58842.7023223198,85,0,0,0,1,1,0,0,4
"44342",911339010,10,1.1869016,139484.644751658,59.000001,0,0,0,1,1,1,0,6
"9406",45133010,9,1.202078,78545.1628990122,74.000001,1,0,0,1,1,0,0,6
"32294",500718020,11,4734.4712,130310.661480972,60,0,0,0,1,0,1,0,6
"14411",64609010,13,355853.25,114994.478027239,75.999999,0,1,0,0,1,0,0,7
"5308",32215010,10,47476.063,123338.714810752,73.000002,1,1,0,1,1,0,0,8
"20453",122278010,8,25675.695,90378.4636352356,59.000001,1,1,0,1,1,0,0,6
"38019",521892010,10,1.1869016,3560.70341982066,50.999999,1,1,0,0,1,0,0,6
"41551",533410020,10,2373.803,123437.794805875,50.999999,1,0,1,1,1,1,0,3
"305",11611010,9,1180440.6,641140.01932941,66.999998,0,0,1,0,1,0,1,8
"34984",501768020,8,172027.16,579757.250534941,54.000001,0,0,1,1,1,1,0,9
"36875",502551020,14,135019.09,163259.711548298,69.000001,0,1,0,1,1,0,1,8
"24262",180795021,8,89864.93,200219.115921286,59.000001,1,1,0,1,1,0,1,8
"19754",114482020,15,2000,329228.66797554,73.000002,1,0,1,0,0,0,0,7
